機構代碼,機構名稱,權屬別,型態別,縣市區名,電話,地址,診療科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,L鑲牙生,M中藥員,N齒模員,P接骨員,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師
3846011179,道民中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,089/323991,臺東縣台東市開封街449號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846011197,大春中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,89355125,臺東縣台東市中華路二段一七六號,,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846011222,陳靜婉中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,089-331812,臺東縣台東市中正路271號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846011231,景春中醫診所,私立中醫診所,中醫診所,臺東縣台東市,089-359629,臺東縣台東市中正路222號1樓,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846011268,普賢中醫診所,私立中醫診所,中醫診所,臺東縣台東市,089-516885,臺東縣台東市知本路三段583號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846021022,宏霖中醫診所,私立中醫診所,中醫一般診所,臺東縣成功鎮,089-852553,臺東縣成功鎮三民路三二號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846101052,福壽堂中醫診所,私立中醫診所,中醫一般診所,臺東縣池上鄉,089-863666,臺東縣池上鄉新生路一三四號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3890010020,弘恩中醫診所,私立中醫診所,中醫一般診所,金門縣金城鎮,82323705,金門縣金城鎮民生路１５－３號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3890011036,廣濟中醫診所,私立中醫診所,中醫一般診所,金門縣金城鎮,82325915,金門縣金城鎮浯江路19號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001020019,基督復臨安息日會醫療財團法人臺安診所,醫療財團法人診所,西醫診所,臺北市大安區,2700-2899,臺北市大安區敦化南路二段76號11樓、11樓之1、11樓之2、11樓之3,家庭醫學科_內科_,0,0,0,0,0,0,2,0,0,0,0,7,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4101200019,有全醫療社團法人景美牙醫診所,醫療社團法人診所,牙醫診所,臺北市文山區,29339793,臺北市文山區景美街20號3樓,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4102050013,和平醫療社團法人章玟琇中醫診所,醫療社團法人診所,中醫診所,高雄市三民區,07-3874234,高雄市三民區九如一路171號1樓,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4131050027,有全醫療社團法人有全牙醫診所,醫療社團法人診所,牙醫診所,新北市新店區,229101388,新北市新店區北新路二段164號1樓,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202020017,聯合病理中心,醫療財團法人其他醫療機構,病理中心,高雄市鼓山區,5545000,高雄市鼓山區中華一路223號12樓,解剖病理科_,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202030013,高柏病理中心,醫療財團法人其他醫療機構,病理中心,高雄市左營區,07_3590690,高雄市左營區大中二路五六六號一．二樓,解剖病理科_,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843070023,世昌中醫診所,私立中醫診所,中醫一般診所,屏東縣麟洛鄉,08_7211111,屏東縣麟洛鄉民權路9號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843091059,聖德昌中醫診所,私立中醫診所,中醫一般診所,屏東縣里港鄉,08-7757998,屏東縣里港鄉中山路102號,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843100017,大仁中醫診所,私立中醫診所,中醫一般診所,屏東縣鹽埔鄉,08_7935395,屏東縣鹽埔鄉新二村維新路５２之３號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843130079,銓泰中醫診所,私立中醫診所,中醫一般診所,屏東縣內埔鄉,08-7790095,屏東縣內埔鄉南寧路２０９號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843131129,平安中醫診所,私立中醫診所,中醫診所,屏東縣內埔鄉,8.7693116,屏東縣內埔鄉南寧路１９６號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843161047,崇益中醫診所,私立中醫診所,中醫一般診所,屏東縣枋寮鄉,08-8780351,屏東縣枋寮鄉中山路246-5號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843161056,惠鳴中醫診所,私立中醫診所,中醫一般診所,屏東縣枋寮鄉,08-8717166,屏東縣枋寮鄉中山路二段250號,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843201028,振德中醫診所,私立中醫診所,中醫一般診所,屏東縣南州鄉,08-8646699,屏東縣南州鄉仁里村人和路52號,,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843211024,張世材中醫診所,私立中醫診所,中醫診所,屏東縣佳冬鄉,8.8665665,屏東縣佳冬鄉石光村中山路150號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842011931,立群中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7616908,高雄市鳳山區紅毛港路157號1樓,,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842011940,長榮中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,8226874,高雄市鳳山區五甲二路566、568號,,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842012036,多寶中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7197883,高雄市鳳山區經武路二七一號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842012045,建安中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,8311119,高雄市鳳山區五甲二路五五三號,,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3842012214,心香中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7808308,高雄市鳳山區八德路二段222號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842012232,順德中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7651256,高雄市鳳山區新富路292號1樓,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842012250,甘草堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7806262,高雄市鳳山區文化西路1號及3號1、2樓,,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841310266,吉祥中醫聯合診所,私立中醫診所,中醫診所,臺南市永康區,06-2330973,臺南市永康區埔園里龍埔街472號,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841311361,健宏中醫聯合診所,私立中醫診所,中醫診所,臺南市永康區,06-2317819,臺南市永康區埔園里四維街2號,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841311389,忠義中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2534937,臺南市永康區蔦松里蔦松一街29號,,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841311441,同心堂中醫診所,私立中醫診所,中醫診所,臺南市永康區,06-2040218,臺南市永康區永康里永大路二段1162號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841311487,江銘酌中醫診所,私立中醫診所,中醫診所,臺南市永康區,06-3026670,臺南市永康區五王里振興路88號1樓,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841311521,王建發中醫診所,私立中醫診所,中醫診所,臺南市永康區,06-2331213,臺南市永康區網寮里文化路369號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841311567,千祥中醫診所,私立中醫診所,中醫診所,臺南市永康區,06-3027116,臺南市永康區大橋里大橋二街221號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841311665,劉俊良中醫診所,私立中醫診所,中醫診所,臺南市永康區,06-2718688_2730279,臺南市永康區崑山里永大路2段123號1樓,,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839011392,重德中醫診所,私立中醫診所,中醫一般診所,雲林縣斗六市,5322900,雲林縣斗六市成功路407號,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839011409,新生中醫診所,私立中醫診所,中醫診所,雲林縣斗六市,922328273,雲林縣斗六市六合街97號,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839011418,安賢中醫診所,私立中醫診所,中醫診所,雲林縣斗六市,05-5362968,雲林縣斗六市上海路136號1樓,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839020015,乾光中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,55976072,雲林縣斗南鎮埤麻里２４號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839020033,信安中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05_5977717,雲林縣斗南鎮民權路６之１號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839020079,聖德中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05_5971955,雲林縣斗南鎮南昌西路52-1號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839020097,狀元堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05_5963633,雲林縣斗南鎮明昌里延平路二段４７８號,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839020113,國際中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05_5968379,雲林縣斗南鎮民權路31號,,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839021156,大春堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05-5960629,雲林縣斗南鎮明昌里中正路二四五號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839030066,太和堂中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,56323070,雲林縣虎尾鎮工專路６５號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839030146,佳樟中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05_6321121,雲林縣虎尾鎮光復路２００號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839030155,明德堂中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05_6337876,雲林縣虎尾鎮東仁里民族路23-2、23-3號,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839030173,立仁中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05_6322978,雲林縣虎尾鎮立仁街十五號,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839030182,宏儒中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05-6321120,雲林縣虎尾鎮新興里光復路309號,,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839031205,張中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05-6364443,雲林縣虎尾鎮和平路21之2號1樓,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839031303,東方虎尾中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05-6364978,雲林縣虎尾鎮中正路329號,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839031330,南光中醫診所,私立中醫診所,中醫診所,雲林縣虎尾鎮,05-6364669,雲林縣虎尾鎮新生路62-1號1樓,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839031349,辰欣中醫診所,私立中醫診所,中醫診所,雲林縣虎尾鎮,,雲林縣虎尾鎮中山里中山路62號,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839040035,復春中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮,55868225,雲林縣西螺鎮光復西路１２０號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839040053,成功中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮,55862304,雲林縣西螺鎮平和路１８５號,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839040062,建成中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮,,雲林縣西螺鎮延平路400.402號1樓,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
